username,date,comment,likes,scraped_at,source
ABUZER KÖMÜRCÜ,5 saat önce,Tuzağa düşen fili siyah gömlekli bir gurup gelip bir güzel döver sonra bu grup beyaz gömlek giyerek fili kurtarır. Fil artık siyah gömlekliyi kötü beyaz gömlekliyi iyi bilir. VAY DÜNYANIN HALİNE ABD BU GURUBUN TA KENDİSİ DURMADAN GÖMLEK DEĞİŞTİRİYOR.,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,7 saat önce,venezülla valisi ossmon maduroğlu,0,2026-01-04 13:44:39,USD/TRY
Telegram da Alphajennyx Ile iletisime gecin,9 saat önce,"Uzun süre maaşa bağlı yaşadım ve yatırım bana riskli geldi. 2025 ortasında detaylı araştırma ile 11.900 USD yatırdım. BITCOIN, GOLD, SOLANA, USDT, XRP, ETHEREUM, LITECOIN, ETC portföyü oluşturdum. Başlangıç zordu ama büyüme istikrarlıydı. Değer 92.000 USD oldu. Kazançlar bankama aktarıldı. Rahatladım. Kullanıcı adım bu deneyim teorisinde önemli ve faydalı bir rol oynar.",0,2026-01-04 13:44:39,USD/TRY
Şükrü Bülbül,9 saat önce,pazartesi doviz altın ne olur,0,2026-01-04 13:44:39,USD/TRY
The BigLong,10 saat önce,bir şeyin fiyatı düşecek dediğimde dislike ama sonradan gerçekleştiğinde de özür dileyen yok. Tebrik istemiyoruz ama dislike yapmanız birşeyi değiştirmiyor. Şunu da belirtelim dünyayı hiç ama hiç iyi şeyler beklemiyor. Maduro gider gitmesine de yerine gelecek maduroyu aratır. Ben söyleyeyim siz dislike atın :),0,2026-01-04 13:44:39,USD/TRY
mehettin pilavcık,11 saat önce,🤜 CUMA DUMAN 🤛,0,2026-01-04 13:44:39,USD/TRY
Adnan Ceylan,11 saat önce,Pazartesi parite ne olur,0,2026-01-04 13:44:39,USD/TRY
Mahmut Oduncu,5 saat önce,Önceden fiyatlamıştır diye düşünüyorum,0,2026-01-04 13:44:39,USD/TRY
yeşil ninja,12 saat önce,Reis eyyyyy abd dermi,0,2026-01-04 13:44:39,USD/TRY
Şahin Şahinov,11 saat önce,Tostum turpum der,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,vvnnzuella 51. eyalet yazin bir kenara bunu hawaii de alaskada boyle eyalet oldu,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,dolarcilar mali goturur,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,mmmadduroya mmmemleketine hoss geldiinn demisler ucakta,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,bu gidis 80 gorunuyor gibi,0,2026-01-04 13:44:39,USD/TRY
yeşil ninja,12 saat önce,Lan biz işitle 8 saat çatışıp 8 ini zar zor alıyoz adamlar devlet başkanını 3.5 satte paketlediler,0,2026-01-04 13:44:39,USD/TRY
ABUZER KÖMÜRCÜ,12 saat önce,onlarda yaralı var bizde şehit var,0,2026-01-04 13:44:39,USD/TRY
yeşil ninja,12 saat önce,aynen ya kafayı yememek elde değil,0,2026-01-04 13:44:39,USD/TRY
Cingöz Recai,12 saat önce,Dayyarı da gaçırır mı trup?,0,2026-01-04 13:44:39,USD/TRY
Okumuş Yazmış,12 saat önce,"reis mazlumun yanındadır ezileni ezdirmez, maduroyu arikanın elinden alıp mecise getirir",0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,gecmis olsun bu is biter dolar ucar,0,2026-01-04 13:44:39,USD/TRY
dört çeker,13 saat önce,pazartesi dx 105 biz de de sanirim once 45 le baslar,0,2026-01-04 13:44:39,USD/TRY
ABUZER KÖMÜRCÜ,13 saat önce,eur usd 50 k short pozdayım iyimi kötümü anlamadım,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,parite sert inecek bu kesin adamm o petrollerin basina oturdugunda borclari oder,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,ayrica mmaaduronin altinlarinida toplarsa degme gitsin adam cokmeyi seviyor,0,2026-01-04 13:44:39,USD/TRY
ABUZER KÖMÜRCÜ,13 saat önce,tereyağından maduroyu çekip aldılar,0,2026-01-04 13:44:39,USD/TRY
