username,date,comment,likes,scraped_at,source
Madame Moroucco,19 Mar 2023 09:10,bu 37.834 ne oluyor dolar mı ons/kilo hesabı mı?,0,2026-01-04 19:30:20,XAU/TRY
Süreyya Song,19 Mar 2023 15:07,"TL 37.834..... Altın fiyatı dolar olarak 1988,77 x 19(gibi) 37800 TL eder. Ons",0,2026-01-04 19:30:20,XAU/TRY
yatirimcibaykus,22 Oca 2023 06:53,Ons'da 2011-2020 yılları arası oluşan fincanın kulbu 3 yıldır biriken enerji ile birlikte oluşmak üzere; düşen enflasyon verisi ile beraber sıkılaşmada yavaşlayacak olan FED ile beraber buradan kısa zaman içerisinde %45 artış ile 2800$ seviyelerini görmesini beklerim. dolar/TL'nin de kontrollü baskı altında tutulacağı bu dönemde altın toplamak mantıklı gözüküyor. yatırım tavsiyesi değildir.,0,2026-01-04 19:30:20,XAU/TRY
Ozan Ox,08 Oca 2023 10:31,Güneş balçıkla sıvanmaz,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,06 Oca 2023 07:55,Bu dönemde altın almak mı mantıklı dolar mı?,0,2026-01-04 19:30:20,XAU/TRY
oktay demiray,09 Kas 2022 12:08,çeyrek düşer mi kısa vadede 1600den aşağı?,0,2026-01-04 19:30:20,XAU/TRY
crazyvillage village,02 Kas 2023 18:39,3250 olmuş 👍,0,2026-01-04 19:30:20,XAU/TRY
BEGINNER STOCKBROKER,03 Kas 2022 09:59,MERHABA ALTIN SPOT NERDEN ALINIR ACABA ? BEN GRAM ALTIN BİLİYORUM SADECE BUNU BİLMİYORUM,0,2026-01-04 19:30:20,XAU/TRY
Murat Gezgin,27 Kas 2022 15:10,bankadan alabilirsin,0,2026-01-04 19:30:20,XAU/TRY
Deli Bedri,08 Eki 2022 22:39,merhaba arkadaşlar xau satış saati varmı yeni aldım bilmiyorum,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,16 Eyl 2022 15:53,Merhaba,0,2026-01-04 19:30:20,XAU/TRY
Can Kılınç,15 Eyl 2022 10:27,1 ay süreli altın alınır mı ?,0,2026-01-04 19:30:20,XAU/TRY
ozi ozi,04 Eki 2022 06:16,"bir ay süreli, senin olmayan bir payala alınmaz",0,2026-01-04 19:30:20,XAU/TRY
Dikiştutmaz Sabri,20 Mar 2024 19:34,"1 ay süreyle yatırım mı olur, alış satış farkına değmez",0,2026-01-04 19:30:20,XAU/TRY
Kamber Dincioglu,15 Eyl 2022 07:57,arkadaşlar sizden bir bilgi yardımı isteyecağim uzun vadede hangi yatırım aracına yatırım yapmalıyım Dolar/euro/altın lütfen yorumlarınızı bekliyorum. Teşekkürler şimdiden :),0,2026-01-04 19:30:20,XAU/TRY
Ramis ÖZÇELİK,02 Eki 2022 04:36,Dolar,0,2026-01-04 19:30:20,XAU/TRY
Sedat Varcin,06 Eki 2022 07:57,hepsi risk,0,2026-01-04 19:30:20,XAU/TRY
Yiğitalp Ayhan,14 Eyl 2022 21:02,Piyasada gram altın 1.000 TL'de iken sorduğumda 1.010 TL'den alıyorum1.016 TL satıyorum diyor böyle bir şey var mı kur farkını anlıyorum fakat kur farkını uygulamadan önce altını piyasanın 10 TL üstünden hesaplıyor?,0,2026-01-04 19:30:20,XAU/TRY
Barış Erdilmen,08 Kas 2022 23:36,Maalesef paketli veya çekme 24 ayar gram altını kuyumcu dan alırsan ekrandaki fiyattan farklı olur. Kuyumcunun kaarı vardır içinde.,0,2026-01-04 19:30:20,XAU/TRY
Yiğitalp Ayhan,14 Eyl 2022 14:37,Yakın zamanda kuyumcular altın alanınız veya satanınız oldu mu piyasanın ne kadar üstünden veriyor veya ne kadar altından alıyor,0,2026-01-04 19:30:20,XAU/TRY
Ferdi Öksüz,14 Kas 2022 15:33,cuma günü 980 TL den aldım gram,0,2026-01-04 19:30:20,XAU/TRY
Dikiştutmaz Sabri,20 Mar 2024 19:34,sana gümüş vermişlerdir 980e altın nerede var hamşo,0,2026-01-04 19:30:20,XAU/TRY
Ruzgar Rovinowitz,21 Tem 2022 16:15,"Altın teknolojide kullanılan çok iyi bir iletken, daha iyi bir maden bulunmaz ise yükselişi durdurulamaz.Geri dönüşümü zor.",0,2026-01-04 19:30:20,XAU/TRY
Berat Üstündağ,12 Tem 2022 12:26,Yön nereye,0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:26,1 ay sonra 1.300 TL,0,2026-01-04 19:30:20,XAU/TRY
Ruzgar Rovinowitz,27 Haz 2022 07:06,1 ay sonra 950 anlıyorsun bu işlerden kral :),0,2026-01-04 19:30:20,XAU/TRY
Fırat Demirel,22 May 2022 15:13,"Merhaba arkadaşlar Annemin altın hesabımda 28,87 XAU yazıyor bu kaç tl yapıyor internette baktık ama anlamdık bilen varsa yardımcı olabilirmi.",0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:26,"28,87 çarp 950 ile",0,2026-01-04 19:30:20,XAU/TRY
Nevzat Ylmz,17 Haz 2022 14:16,Neyini anlamadin be kardesim banka gram altini kaca bozuyorsa elindekini carp onu cikan sonuc senin paran,0,2026-01-04 19:30:20,XAU/TRY
sef sis,12 May 2022 08:28,arkadaşlar target fx faaliyetini durdurmuş nerede anlık işlem yapabiliriz bir tavsiyeniz olurmu?,0,2026-01-04 19:30:20,XAU/TRY
Fatih Aydinhan,14 Nis 2022 04:58,Son 50 yıllık grafige göre altın gramı 2027 yılında 7 bin TL olacak.,0,2026-01-04 19:30:20,XAU/TRY
JOKER Joker,25 May 2022 10:27,3. Dünya savaşı çıkacak ve ons altın 10 bin usd olacak diyor kitaplar,0,2026-01-04 19:30:20,XAU/TRY
Ferhat Kaygısız,25 May 2022 11:18,Kaynak fatihin gotuu,0,2026-01-04 19:30:20,XAU/TRY
Sedat Varcin,06 Eki 2022 08:01,alim adam ya bütün sayfalara hakim .. katılıyorum sana,0,2026-01-04 19:30:20,XAU/TRY
Emre Ebru Işık,11 Nis 2022 09:41,"2022 8. Ve 9. Ayda altın TL bazında kaç lirayı görecektir, tahmin ve görüşlerinizi alabilirmiyim.",0,2026-01-04 19:30:20,XAU/TRY
Muhammet Dere,28 Şub 2022 08:35,"altın sürekli yükseliyor ve akabinde hemen baskılanıyor, acaba nedeni ne ?",0,2026-01-04 19:30:20,XAU/TRY
Kültigin Yabgu,28 Şub 2022 07:17,"İngiltere basınından, Putin nükleer butona basabilir.!.....Cayrıdıcı güçlerle ilgili talimat, nükleer savaş çıkıp çıkmayacağını gündeme getirdi.....BBC'nin Moskova Muhabiri Steve Rosenberg imzalı analizde, Bir itirafla başlayayım. Pek çok kez, 'Putin bunu asla yapmaz' diye düşündüm. Sonra gidip yapıyor. denildi. (dw)",0,2026-01-04 19:30:20,XAU/TRY
Alaaddin Kekavus,06 Oca 2022 05:31,Altın boğa piyasasına hazırlanıyor ! Bloomberg Intelligence Analisti Mike McGlone ise hisse piyasalarının sendelemeye başlamasından sonra altın fiyatlarının yükselişe geçeceğini belirterek “Altın konsolide olarak boğa piyasasına hazırlanıyor” dedi... borsagündem,0,2026-01-04 19:30:20,XAU/TRY
Alaaddin Kekavus,06 Oca 2022 05:30,"Altın 2022'de 2100 dolar /ons seviyesini test edebilir ! Fon yönetim şirketi Fat Prophets, 2022 yılı için altın fiyat tahminini bu gün açıkladı... Altın 2022'de 2100 dolar /ons seviyesini test edebilir ! Uluslararası altın fiyatının bu yıl 2100 dolar/ons seviyesini test edebileceğini söyledi. ABD dolarında zayıflık ve enflasyonun Altın fiyatları nı yükseltmesi olası bazı faktörler olduklarını belirterek, 2022 yılı içinde altın fiyatının tüm zamanların en yüksek seviyesini test ettiğini göreceğimizi düşünüyoruz, ancak o noktaya vardığımızda daha öteye gidebileceğimizi göremiyoruz dedi. ABD dolarında düşüş için her şeyin var olduğunu, ancak bunun henüz gerçekleşmediğini...Eğer dolar zayıflar ise bu altın için bir lütuf olur. Enflasyonda yüksek ivmenin ve düşük ABD dolarının altın fiyatını 2022'de daha yüksek fiyatlara yönlendireceğine inanıyoruz diye konuştu. - Foreks Haber Merkezi- (Alıntıdır)",0,2026-01-04 19:30:20,XAU/TRY
kenan yige,29 Ara 2021 15:37,hafta sonu yine süpriz olabilir.....,0,2026-01-04 19:30:20,XAU/TRY
BVB altuntaş,05 Oca 2022 14:53,alinir,0,2026-01-04 19:30:20,XAU/TRY
stiiila,12 Oca 2022 06:44,kimden daha önemli,0,2026-01-04 19:30:20,XAU/TRY
Mehmet Ali,24 Ara 2021 12:04,ne kadar sessiz bir yer burası,0,2026-01-04 19:30:20,XAU/TRY
Kadir Akgül,22 Ara 2021 12:21,Arkadaşlar 24 gr altın almıştım 982tl den sizce ne yapmalıyım,0,2026-01-04 19:30:20,XAU/TRY
Mehmet Ali,22 Ara 2021 18:09,"düşünki kuyumcusun müşteri altın satmış daha 928den, ne yapardin ? beklerdin muhtemelen, umarım yükselir tekrardan, amatör bir yatırımciyim tavsiye değildir, düşün taşın kendi kararını kendin ver",0,2026-01-04 19:30:20,XAU/TRY
Mehmet Ali,22 Ara 2021 18:11,"ben 94 TL'den altın fonu almıştım, iki gündür alım yaparak maliyeti 70li servislere düşürdüm, %10- 15 civarı düşerse tekrardan alıp ilave ederim, ya herro ya merro",0,2026-01-04 19:30:20,XAU/TRY
Mehmet Faik Ayhan,28 Ara 2021 12:14,Elinde bir miktar tl olsun günlük al sat yap zararının bir kısmını karşılayabilirsin,0,2026-01-04 19:30:20,XAU/TRY
Koray Ay,22 Ara 2021 10:15,Eldeki bütün rezervi bozdular ocaksonuna kadar uçucak altın dolar daha boka sarıcak,0,2026-01-04 19:30:20,XAU/TRY
GaspetMurat,28 Ara 2021 07:36,Kimse altın rezervinden bahsetmiyor yatıyorlar kalkıyorlar dalırs bu adam yüklü miktarda altın bozdurursa ikisinede aynı şekilde koyacaktır. piyasa bunun farkında değil,0,2026-01-04 19:30:20,XAU/TRY
Koray BY,20 Ara 2021 22:22,sıctik,0,2026-01-04 19:30:20,XAU/TRY
Mehmet Ali,21 Ara 2021 15:15,"hemde nasıl , zarar çıkmasi için Allah bilir ne kadar bekleyeceğiz",0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,05 Ara 2021 20:07,"OTOMOBİL STOKÇULARININ ELİNDE PATLAYACAK ______________________________Türkiye’de elektrikli ve hibrit otomobil satışı ADETA PATLADI Hibrit otomobil satışları %121,8 büyümeyle 45 bin 190 adete ulaştı. Elektirkli otomobiller ise 2 bin 415 adetle %325,2 oranında artış gösterdi.2022 ortasına kadar acil 250 BİN CİVARINDA ŞARJ İSTASYONU KURULACAK--YENİÇAĞ . ________________________________________________2030'a varmadan Avrupa'da (Benzin, Mazot vb) motorlu içten yanmalı araçlar hiç kalmayacak&quot;dedi. OİB Başkanı Baran Çelik------------------------------------------https://www.bursadabugun.com/haber/oib-baskani-baran-celik-otomotiv-endustrisinde-buyuk-bir-donusum-var-1463502.html?",0,2026-01-04 19:30:20,XAU/TRY
Pipin Peregrintook,17 Ara 2021 04:49,zor dediklerin inşallah olur,0,2026-01-04 19:30:20,XAU/TRY
Pipin Peregrintook,29 Ara 2021 19:51,inşallah patlar 2000 clioya 100bin istiyorlar acımasızlar,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,03 Ara 2021 09:27,DOLARLARI BOZDUM BİR MİKTAR BADEMLER BİR PİSLİK YAPABİLİR ARTIK ONLARINDA G... YUSUF YUSUF YAPMAYA BAŞLADI TİTREŞİMLİ VİBRATÖR YAKLAŞTIKÇA,0,2026-01-04 19:30:20,XAU/TRY
Cagri Onder,19 Ara 2021 10:06,Simdi oturup aglarsin,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,03 Ara 2021 05:47,İLK HEDEF 825 TL --------------------SONRA DÖRT HANELİ RAKAMLAR GRAM ALTINDA -------------https://tr.tradingview.com/chart/XAUTRYG/30KTWMSv/,0,2026-01-04 19:30:20,XAU/TRY
GaspetMurat,28 Ara 2021 07:38,Amerikayı hiber enfelasyon beklerken senin elindeki dolar bir anda çöpe altın değersiz madene dönecek. Altındada biz ezileceğiz bu kadarda kısa vade düşünmeyin.,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,02 Ara 2021 06:30,". . . . Reuters: Türkiye, sahip olmadığı parayı harcıyor, elinde olmayan dolarla dövize müdahele ediyor !!!!! 19:29 01.12.2021 https://tr.sputniknews.com/20211201/reuters-turkiye-sahip-olmadigi-parayi-harciyor-1051345925.html . . .",0,2026-01-04 19:30:20,XAU/TRY
